Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
122,04/09/23 00:46:42,51,45.0,19.8,308.103,153.655,157.482,157.819,151.702,151.898,145.169,137.01,131.425,120.307,109.37,100.724,94.144,90.877,87.385,86.617,88.003,87.577,84.56,83.246,81.345,74.584
123,04/09/23 00:47:00,51,45.0,160.2,308.102,158.146,161.844,161.592,156.364,156.298,149.739,141.123,136.189,125.292,113.497,105.038,98.209,95.134,91.667,89.201,91.434,137.839,88.721,86.573,85.407,78.576
125,04/09/23 00:47:22,51,90.0,19.8,308.107,153.427,157.293,157.939,151.82,151.68,145.433,136.796,131.792,120.699,110.181,101.087,94.34,91.222,88.475,87.029,87.885,88.301,84.609,82.961,82.078,74.997
126,04/09/23 00:47:40,51,90.0,160.2,308.107,162.385,166.231,166.201,161.057,160.551,154.724,145.822,142.218,129.011,117.247,108.707,101.317,98.463,94.75,93.284,93.607,98.438,91.04,88.79,87.098,80.409
128,04/09/23 00:48:04,51,135.0,19.8,308.108,151.109,155.68,155.326,149.522,149.583,143.031,134.579,130.927,118.656,107.58,99.1,91.979,89.113,86.374,84.728,86.564,119.854,83.782,81.639,80.152,73.727
129,04/09/23 00:48:22,51,135.0,160.2,308.104,162.41,166.225,166.676,161.259,160.492,154.677,145.847,139.508,128.715,117.693,108.654,100.587,98.066,94.501,92.77,94.438,93.447,90.236,88.911,86.854,80.997
132,04/09/23 00:50:14,51,0.0,19.8,308.089,155.268,158.371,158.64,153.18,152.718,146.622,137.883,132.817,122.455,110.993,101.927,94.893,91.868,89.119,88.2,89.025,88.476,86.25,84.596,82.888,75.648
133,04/09/23 00:50:32,51,0.0,90.0,308.097,69.746,71.383,72.939,68.452,68.372,66.211,60.464,57.967,51.436,45.367,41.388,37.572,35.942,35.598,36.035,40.927,44.044,41.663,40.998,39.405,30.754
134,04/09/23 00:50:50,51,0.0,160.2,308.099,154.143,157.584,157.592,152.386,152.059,146.219,136.778,132.671,121.583,110.808,101.817,94.791,92.031,88.857,87.373,89.006,170.257,86.583,84.22,82.276,76.096
135,04/09/23 00:51:13,51,45.0,19.8,308.1,153.396,157.221,157.331,151.441,151.135,144.985,136.612,131.66,120.234,109.789,100.524,93.452,90.99,88.246,86.601,87.683,88.589,85.255,83.54,81.083,75.235
136,04/09/23 00:51:30,51,45.0,160.2,308.101,157.298,160.383,161.098,155.885,154.983,148.903,140.227,135.665,124.709,112.877,104.024,96.553,94.436,91.232,89.555,90.517,140.442,87.153,85.691,84.051,77.682
138,04/09/23 00:51:53,51,90.0,19.8,308.098,153.396,156.221,156.52,151.495,150.93,144.337,135.792,131.085,120.553,109.026,99.83,93.591,90.361,88.054,85.695,87.529,88.021,84.803,83.27,81.777,74.675
139,04/09/23 00:52:11,51,90.0,160.2,308.098,161.674,164.557,164.967,159.27,158.958,152.505,144.621,141.028,128.2,116.501,107.539,99.708,97.86,94.079,92.419,93.678,97.789,89.771,88.203,85.974,80.057
141,04/09/23 00:52:34,51,135.0,19.8,308.096,150.429,154.04,154.504,148.835,148.758,142.224,134.087,130.44,118.187,106.912,98.238,91.875,89.379,86.378,85.125,86.286,118.166,83.198,81.755,79.97,72.988
142,04/09/23 00:52:52,51,135.0,160.2,308.096,162.714,166.541,166.874,161.545,161.007,155.031,145.509,140.541,130.135,118.416,109.597,101.44,98.68,95.614,93.832,94.823,94.818,92.224,89.887,87.877,81.281
145,04/09/23 00:54:44,51,0.0,19.8,308.096,155.72,158.452,157.759,152.727,152.442,145.936,137.517,132.356,120.838,110.669,101.128,95.239,91.517,88.949,87.411,88.978,89.305,85.942,84.144,82.254,75.442
